Name,date,telescope,Technology,mean_freq,resolution,S-min,sourceCount,area
Reber40,1940,Reber,dish,162,10800,900000,1,1
Reber44,1944,Reber,dish,160,10800,110000,6,30000
Hey,1946,Yagi,other,64,21600,220000000,1,28236.3
Bolton,1948,Sea interferometer,other,100,4000,80000,9,10178.2
1C,1950,MRAO,array,81,4000,30000,50,17052
Stanley&Slee,1950,,other,100,36000,100000,22,31614
Mills,1952,,other,101,3600,80000,77,36444.5
Brown & Hazard,1953,Jodrell,dish,158,7200,5000,23,6126
BSS,1954,Sea interferometer,other,10,3600,40000,104,31614
Shain & Higgins,1954,coplanar,other,18.3,62220,3000000,37,24219
2C,1955,MRAO,array,81,3600,10000,1936,33161.2
MSH,1958,Mills cross,synth,85.5,3000,10000,2270,23968
3C,1959,MRAO,array,159,3100,8000,471,27251.3
3CR,1962,MRAO,array,178,2600,9000,328,22326.4
PKS,1964,Parkes,dish,1410,480,4000,1780,27693
4C,1965,MRAO,array,178,90,2000,4843,23837
PKS2700,1967,Parkes,dish,2700,480,60,8264,27546.7
OSS,1968,Ohio,other,1415,600,160,19775,30516
B2,1970,Bologna,cylinder,408,360,250,9929,5910
GB,1972,Greenbank,dish,1400,600,90,1086,521
Molonglo (MC1-MC4),1973,Molonglo,cylinder,408,162,200,4160,1590.3
CUL1-2,1975,Culgoora,synth,80,222,2000,2747,29133.3
NAIC,1975,Arecibo,dish,611,756,350,3122,5203.3
CUL3,1977,Culgoora,synth,160,114,1200,2045,25562.5
GB2,1978,Greenbank,dish,1400,600,90,2022,919.1
MRC,1981,MOST,cylinder,408,120,700,12141,25938
NAIC-GB,1983,Greenbank,dish,4775,168,30,2661,4435
6C,1985,MRAO,array,151,270,300,28000,10318
B3,1985,Bologna,cylinder,408,240,100,13354,2568.1
MIT-GB,1986,Greenbank,dish,4850,168,50,24180,16120
IPS,1987,,array,82,12000,5000,1789,24065
Zelenchuk,1989,RATAN,dish,3900,1500,50,8503,5001.8
87GB,1991,Greenbank,dish,4850,210,25,54579,19932
BWE,1991,Greenbank,dish,4850,210,25,53522,19823
Ratan,1991,Ratan,dish,3900,1500,15,1145,371.6
Wieringa327,1991,WSRT,synth,327,60,3,4500,95
WB92,1992,greenbank,dish,1400,600,100,30239,22233
PMN,1994,Parkes,dish,4850,294,30,50814,25862
VLA-NEP,1994,VLA,synth,1500,20,0.3,2435,29.3
8C,1995,MRAO,array,38,270,1000,5859,2764
GB6,1996,Greenbank,dish,4850,210,18,75162,20028
MIYUN,1996,Miyun,synth,232,228,200,34426,10178
Texas,1996,texas,synth,365,10,400,66841,33420.5
WENSS,1997,WSRT,synth,325,54,18,230000,10318
FIRST,1998,VLA,synth,1400,6,1,816331,10507
NVSS,1998,VLA,synth,1400,45,2.5,1773484,33818
7C,1999,MRAO,array,151,72,50,120000,13578
SUMSS,1999,MOST,cylinder,843,42,6,211063,10318
ATESP,2000,ATCA,synth,1400,12,0.4,2960,26
Bootes-WSRT,2002,WSRT,synth,1400,18,0.14,3172,7
WISH,2002,WSRT,synth,352,54,18,73570,5818
CLASS,2003,VLA,synth,8460,0.2,2,13783,1
FLS-VLA,2003,VLA,synth,1400,5,0.115,3565,5
Phoenix,2003,ATCA,synth,1400,9,0.45,2090,4.5
VVDS,2003,VLA,synth,1400,6,0.08,1054,1
FLS-WSRT,2004,WSRT,synth,1400,12,0.02,1048,1
ATLAS,2006,ATCA,synth,1580,10,0.07,5118,7
Biggs-Ivison,2006,VLA,synth,1400,1.4,0.025,1243,0.3
AEGIS20,2007,VLA,synth,1400,3.8,0.13,1123,0.7
COSMOS,2007,VLA,synth,1400,1.5,0.04,3643,2
FLS-GMRT,2007,GMRT,synth,610,6,0.12,3944,3.9
MRT,2007,Mauritius,synth,151,260,1300,2784,23968
VLSS,2007,VLA,synth,74,75,500,92964,30215
ELAISN1-610,2008,GMRT,synth,610,6,0.14,2500,8.9
LH-610,2008,GMRT,synth,610,5,0.36,7779,5
LH-Owen,2008,VLA,synth,1400,1.6,0.0135,2056,0.4
COMA,2009,VLA,synth,1400,4.8,0.1,1030,1
ELAISN1-325,2009,GMRT,synth,325,9,0.27,1286,3.1
LH-Ibar,2009,VLA+GMRT,synth,610,5,0.03,1587,1.5
SWIREII,2009,VLA,synth,327,6.2,0.3,1436,3.1
AT20G,2010,ATCA,other,20000,10,200,5890,20684.7
ATLBS,2010,ATCA,synth,1388,50,0.4,1094,8.4
10C,2011,AMI,synth,15700,30,0.5,1897,27
Stripe82-Hodge,2011,VLA,synth,1400,1.8,0.26,17969,92
GAMA-gmrt325,2013,GMRT,synth,325,19,1,5263,90
GLEAM,2016,MWA,MPA,151,120,50,307455,24402
Stripe82-Heywood,2016,VLA,synth,1500,13,0.44,8948,100
ASKAP-BETA,2016,ASKAP,PAF,863,65,1.9,3722,150
Bootes-LOFAR,2016,LOFAR,MPA,150,6.5,0.6,6276,19
TGSS,2016,GMRT,synth,147,25,12,623605,37101.2
ATLAS-SPT,2016,ATCA,synth,2100,10,0.4,9000,85
LH-LOFAR,2016,LOFAR,MPA,150,16.6,0.8,4882,34.7
ASKAP-ESP3,2017,ASKAP,PAF,1100,30,0.4,200000,2000
LOFAR-Tier1,2017,LOFAR,MPA,145,6.5,0.5,50000000,20636
MSSS-HBA,2017,LOFAR,MPA,95,45,100,175000,20028.1
VLA-COSMOS,2017,VLA,synth,3000,0.75,0.0115,10830,2
GLASS,2017,ATCA,synth,5500,2.3,0.15,14000,60
LHW,2017,WSRT,synth,1400,10,0.055,5997,6.6
LoTSS-HETDEX,2017,LOFAR,MPA,144,25,2.5,44000,350
Frontier Fields,2017,VLA,synth,3000,0.65,0.0027,2000,0.037
ELAIS-N1-612,2017,GMRT,synth,612,5.6,0.05,2800,1.2
eMERGE,2017,MERLIN,synth,1500,0.2,0.003,5000,0.2
Apertif,2018,WSRT,PAF,1350,15,0.075,20000000,10000
EMU,2018,ASKAP,PAF,1250,10,0.05,70000000,30000
MIGHTEE,2018,Meerkat,synth,1400,6,0.005,200000,20
VLASS,2018,VLA,synth,3000,2.5,0.35,10000000,33900
Chilesconpol,2020,VLA,synth,1400,4,0.002,8000,0.2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Area of sky from dec zero to dec theta = 20636 sin theta square degees ,,,,,,,,
